Provincia,Latitud,Longitud,Capital,Distrito
Azangaro,-14.916711275702855,-70.19426824066545,Azangaro,10
Carabaya,-14.076465903083536,-70.3725110151342,Macusani,08
Chucuito,-16.214220890871793,-69.45728300767883,Juli,10
El Collao,-16.08730963876123,-69.63832339060446,Ilave,07
Huancane,-15.205213564972741,-69.76251874232418,Huancane,09
Lampa,-15.363470851360145,-70.36702101983555,Lampa,06
Melgar,-14.880892315560164,-70.58826927734549,Ayaviri,08
Moho,-15.358488682174718,-69.49388580962699,Moho,06
Puno,-15.840668917363967,-70.02100851622136,Puno,07
San Antonio de Putina,-14.911895949535403,-69.87060154497482,Putina,09
San Roman,-15.497808439910724,-70.13110240921971,Juliaca,06
Sandia,-14.191818614193894,-69.50612717333891,Sandia,08
Yunguyo,-16.249409571797894,-69.0882111216018,Yunguyo,06
